id,name,name_zh,city,country,lat,lon,url,is_home
cqu,Chongqing University,重庆大学,Chongqing,China,29.5683,106.4631,https://cpa.cqu.edu.cn/,TRUE
tsinghua,Tsinghua University,清华大学,Beijing,China,40.0028,116.3262,https://www.dps.tsinghua.edu.cn/,FALSE
nankai,Nankai University,南开大学,Tianjin,China,39.1045,117.1645,https://www.nankai.edu.cn/,FALSE
sjtu,Shanghai Jiao Tong University,上海交通大学,Shanghai,China,31.2005,121.4298,https://www.sjtu.edu.cn/,FALSE
sdu,Shandong University,山东大学,Jinan,China,36.6735,117.0560,https://www.sdu.edu.cn/,FALSE
harvard,Harvard University,,Cambridge,USA,42.3770,-71.1167,https://www.harvard.edu/,FALSE
oxford,University of Oxford,,Oxford,UK,51.7548,-1.2544,https://www.ox.ac.uk/,FALSE
rutgers,Rutgers University,,Camden,USA,39.9483,-75.1199,https://www.camden.rutgers.edu/,FALSE
unsw,University of New South Wales,,Sydney,Australia,-33.9173,151.2313,https://www.unsw.edu.au/,FALSE
acca21,"Administrative Center for China's Agenda 21",中国21世纪议程管理中心,Beijing,China,39.9590,116.2980,https://www.acca21.org.cn/,FALSE
must,Macau University of Science and Technology,澳门科技大学,Macao,China,22.1893,113.5432,https://www.must.edu.mo/,FALSE
